ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Link
1,1000uF,C1,ELECTROLYTIC CAP HORIZONTAL 10X20MM,1,EEUFR1E102,PANASONIC,TME,EEUFR1E102,https://www.tme.eu/lv/en/details/eeufr1e102/tht-electrolytic-capacitors/panasonic/
2,JST-XH-2A,ESTOP_SW,JST-XH-02-PACKAGE-LONG-PAD,1,Key Switch,,,,https://www.aliexpress.com/item/33014058927.html
3,FUSE-30A,FUSE,3557-2,1,,,,,https://www.aliexpress.com/item/32792597229.html
4,S5B-XH-A(LF)(SN),J1,JST-XH-S5B-XH-A,1,,,,,https://www.aliexpress.com/item/32807590507.html
5,LiPo Tester,LIPO_MONITOR,LIPO_BATTERY_TESTER,1,Battery tester,,,,https://www.aliexpress.com/item/1005001394064475.html
6,430450627,P2,430450627,1,430450627,MOLEX,LCSC,C293538,
7,430450212,P3,430450212,1,430450212,MOLEX,LCSC,C293362,
8,XT60PW-M,PWR_IN,XT60PW-M PCBLIB,1,XT60PW-M,Amass,LCSC,C98732,
9,XH-2PWB,PWR_SW,JST-XH-3PIN TD,1,XH-2PWB,ReliaPro,LCSC,C64520,
10,BSC030P03NS3G,Q1,SON-8_5MMX6MM,1,BSC030P03NS3G,Infineon,LCSC,C152375,
11,2N7002-7-F,Q3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,IRLML6344TRPBF,IR,LCSC,C53550,
12,10k,R1,0603-RES,1,,,,,
13,1k,R2,0603-RES,1,,,,,
14,1.2K,R3,RES-TH_BD2.3-L6.5-P10.50-D0.5,1,,Chian Chia Elec,LCSC,C120057,
15,430450412,U1,CONN-TH_4P-P3.00-S3.00_L7.4-W9.7-EH9.0,1,430450412,MOLEX,LCSC,C277721,
